Issue Type,Priority,Key,Summary,Status,Assignee,Created,Description,Updated,Project,Sprint,Epic Link,Story Points
Development Task,Functionality Incomplete,DREAMAPS-531,Finish database migration to new server,Deliver to Client,Testing Team,9/14/15 10:59,"Move the configuration databases, fully automate ETL runs, and point services to new database.",10/5/15 16:55,DREAMaps Online,"Sept15 Sprint 2, Oct15 Sprint 1",,4
Change Order,Functionality Incomplete,DREAMAPS-528,Elmore: Remove SurveyLines from the default enabled layers,Open,Eric Green,8/19/15 9:07,"The SurveyLines layer is automatically enabled when logging into the site, which causes the map to load very very slowly. De-enable this layer from being a default.",9/28/15 10:47,DREAMaps Online,"Sept15 Sprint 1, Sept15 Sprint 2, Oct15 Sprint 1",,3
Change Request - New Feature,Functionality Incomplete,DREAMAPS-527,Document Management: Add the ability to edit file names,Open,Eric Green,7/30/15 12:01,"Currently you can edit all of the document attributes for uploaded documents except for the file name. Because mistakes are sometimes made when naming files and it can be time consuming to re upload the files, the ability to change the file name needs to be added. 

From David: 
There has got to be a more user friendly way of correcting or undoing what she has done from DMO and not through PostgreSQL. Why couldn’t we just make the search or field that matters a changeable field instead of a locked file name/number. Users like Bobbie will always have issues with scanning or ordering and it has to be easier. Right not this is too cumbersome for her to get these deeds right in DMO. This causes Kay more time when searching and finding the correct deed and so on….there just has to be a better way of how we are doing it.",9/28/15 10:47,DREAMaps Online,"Sept15 Sprint 1, Sept15 Sprint 2, Oct15 Sprint 1",,9
Change Request - Improvement,New Feature,IRWIN-672,Update IRWIN to Web Application - HTML5,In Progress,Paul Fuller,7/31/15 14:59,Convert IRWIN to a web application. Convert HTML 1.1 to HTML5. Update .NET runtime version from 2.0 to 4.6. Update libraries in project to current .NET version. Introducing RESTful routing architecture.,9/28/15 10:47,NDOT - IRWIN,"Sprint 1, Sept15 Sprint 1, Sept15 Sprint 2, Oct15 Sprint 1",,
Development Subtask,Functionality Incomplete,IRWIN-673,IRWIN-672 CSS revisions for html5 upgrade,In Progress,Paul Fuller,8/31/15 9:58,,8/31/15 10:23,NDOT - IRWIN,"Sprint 1, Sept15 Sprint 1, Sept15 Sprint 2, Oct15 Sprint 1",,10
Development Subtask,Functionality Incomplete,IRWIN-674,IRWIN-672 Testing while bug fixing for html5 upgrade,Open,Paul Fuller,8/31/15 10:00,,8/31/15 10:24,NDOT - IRWIN,"Sprint 1, Sept15 Sprint 1, Sept15 Sprint 2, Oct15 Sprint 1",,20
Development Subtask,Functionality Incomplete,IRWIN-675,IRWIN-672 Javascript debugging for html5 upgrade,In Progress,Paul Fuller,8/31/15 10:07,,8/31/15 10:23,NDOT - IRWIN,"Sprint 1, Sept15 Sprint 1, Sept15 Sprint 2, Oct15 Sprint 1",,30
Development Subtask,Functionality Incomplete,IRWIN-677,IRWIN-672 JavaScript xml backbone file fixing,In Progress,Paul Fuller,9/14/15 9:43,,9/14/15 9:46,NDOT - IRWIN,"Sprint 1, Sept15 Sprint 1, Sept15 Sprint 2, Oct15 Sprint 1",,10
Development Subtask,Functionality Incomplete,IRWIN-678,IRWIN-672 CSS master and homepage,Open,Paul Fuller,9/14/15 9:45,,9/14/15 9:45,NDOT - IRWIN,"Sprint 1, Sept15 Sprint 1, Sept15 Sprint 2, Oct15 Sprint 1",,12
Development Task,Functionality Incomplete,ALDOT-1646,GDB -> Oracle: Crosswalk analysis,In Progress,George Darling,8/25/15 16:56,"Although work has been done previously on the differences between the GDB and the Oracle schema, this needs to be looked at again. Which fields map to which fields, and what may need to be added / changed?",9/28/15 10:47,ALDOT,"Sept15 Sprint 1, Sept15 Sprint 2, Oct15 Sprint 1",Data Migration,6
